iter	Passed	Remaining
1077	462880	395895
1078	463201	395373
1079	463523	394853
1080	463843	394331
1081	464164	393810
1082	464480	393285
1083	464793	392759
1084	465111	392236
1085	465410	391699
1086	465725	391175
1087	466068	390675
1088	466386	390154
1089	466674	389608
1090	466994	389090
1091	467318	388575
1092	467624	388047
1093	467934	387521
1094	468257	387007
1095	468565	386480
1096	468886	385965
1097	469181	385429
1098	469502	384914
1099	469816	384395
1100	470147	383889
1101	470474	383381
1102	470771	382848
1103	471093	382336
1104	471406	381817
1105	471710	381292
1106	472028	380778
1107	472285	380215
1108	472607	379705
1109	472929	379195
1110	473249	378684
1111	473532	378144
1112	473850	377632
1113	474145	377103
1114	474463	376591
1115	474783	376082
1116	475101	375572
1117	475418	375062
1118	475708	374529
1119	476030	374024
