iter	Logloss
0	0.6499729592
1	0.6011784861
2	0.5543665672
3	0.5139198084
4	0.4824206577
5	0.4542769648
6	0.4264741747
7	0.4002463925
8	0.3802858507
9	0.3636013475
10	0.3428649841
11	0.3263385845
12	0.3106803362
13	0.2987949439
14	0.2886656228
15	0.278449968
16	0.2691850323
17	0.2600274171
18	0.2516237933
19	0.2459371704
20	0.2392834787
21	0.2339743538
22	0.2288977196
23	0.2220141695
24	0.2180632916
25	0.2127206886
26	0.2089297534
27	0.2055680029
28	0.2020343999
29	0.1992917685
30	0.196956613
31	0.1942186911
32	0.1913153904
33	0.188982782
34	0.1861208376
35	0.1828557834
36	0.1804438745
37	0.1757569242
38	0.17405634
39	0.1720767454
40	0.1673638397
41	0.1660965909
42	0.1645731805
43	0.1632765984
44	0.1620053577
45	0.1610288727
46	0.1597318324
47	0.1579570583
48	0.1549596181
49	0.1541039295
50	0.1529605799
51	0.1520678636
52	0.1510006836
53	0.1497315383
54	0.1486340735
55	0.1477347991
56	0.1459391086
57	0.145067441
58	0.1443479433
59	0.1433304784
60	0.142076335
61	0.1397833968
62	0.1389282539
63	0.1374776457
64	0.1366553813
65	0.1353980952
66	0.1336114693
67	0.131964428
68	0.1308765094
69	0.1303368122
70	0.129370227
71	0.1282980993
72	0.1275429247
73	0.1270173171
74	0.1264459717
75	0.1258588018
76	0.1249577919
77	0.1244316436
78	0.1229040428
79	0.1225894985
80	0.1213794257
81	0.1198467299
82	0.1195208325
83	0.119222697
84	0.1188371699
85	0.1185546328
86	0.118161707
87	0.1172957972
88	0.1170144624
89	0.1166541605
90	0.1164869414
91	0.116094885
92	0.1157885567
93	0.1148655995
94	0.1145139261
95	0.114256072
96	0.1137125405
97	0.11292248
98	0.1121169563
99	0.1115978354
100	0.1113461041
101	0.1111681943
102	0.1109114653
103	0.1087745303
104	0.1079717043
105	0.10706897
106	0.1068338688
107	0.1060869564
108	0.1058322056
109	0.1054736359
110	0.1047950163
111	0.1043132762
